GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Techniques de test,fr.univavignon.pokedex.api,Team,0,21,0,0,0,4,0,1,0,1
Techniques de test,fr.univavignon.pokedex.api,PokemonFactory,30,3,0,0,3,1,1,1,1,1
Techniques de test,fr.univavignon.pokedex.api,PokedexException,4,0,0,0,2,0,1,0,1,0
Techniques de test,fr.univavignon.pokedex.api,PokemonMetadataProvider,23,32,4,0,5,5,3,1,1,1
Techniques de test,fr.univavignon.pokedex.api,Pokedex,44,64,5,3,7,17,5,7,2,6
Techniques de test,fr.univavignon.pokedex.api,PokemonMetadata,6,27,0,0,2,10,2,4,2,4
Techniques de test,fr.univavignon.pokedex.api,PokemonTrainerFactory,17,0,0,0,2,0,2,0,2,0
Techniques de test,fr.univavignon.pokedex.api,PokedexFactory,0,9,0,0,0,2,0,2,0,2
Techniques de test,fr.univavignon.pokedex.api,PokemonTrainer,6,15,0,0,2,6,2,2,2,2
Techniques de test,fr.univavignon.pokedex.api,PokemonComparators,41,0,0,0,8,0,3,0,3,0
Techniques de test,fr.univavignon.pokedex.api,Pokemon,9,29,0,0,3,9,3,3,3,3
